[-1.00676076e+00 -1.87850096e-04 -3.19858895e-01 -3.21660871e+00
  5.67268357e-01  6.76094310e-01] -276.0655514745851
[ 0.79349287 -0.59860282  1.26867682 -3.58640934  3.30708373  0.72684571] -215.82833786021718
[ 0.76622663 -0.54532586  1.2609255  -3.61598823  3.33163581  0.72283782] -215.82684116884226
[ 0.76027161 -0.58940229  1.21184449 -3.60613073  3.32535294  0.6764056 ] -215.82788868510065
[ 0.7759525  -0.57005681  1.25423105 -3.61268889  3.3166961   0.69624477] -215.82257125320774
[ 0.7849172  -0.56538809  1.26214066 -3.60884446  3.30777996  0.67520088] -215.82047768581907
[ 0.79532473 -0.57931231  1.24492795 -3.61856827  3.34092542  0.68748647] -215.82660363693526
[ 0.75265994 -0.54323039  1.21965619 -3.65596346  3.35479156  0.67663938] -215.82432363700477
[ 0.78334398 -0.53704029  1.27909241 -3.65285297  3.34633522  0.72715742] -215.82353588233184
[ 0.78257026 -0.55967514  1.29672625 -3.63557234  3.34923911  0.66477765] -215.82236750840428
[ 0.78841149 -0.57846802  1.26316543 -3.65688392  3.35189166  0.65846482] -215.82211427509134
[ 0.75700898 -0.54420014  1.28524214 -3.66707576  3.34625746  0.68414229] -215.82158455286367
[ 0.78453901 -0.5225986   1.2656117  -3.6455827   3.33392052  0.64948136] -215.81694335325753
[ 0.79425938 -0.49053018  1.26355289 -3.64496658  3.32512521  0.61789898] -215.81550184132317
[ 0.81084382 -0.5485369   1.33031708 -3.63276856  3.32075131  0.66590797] -215.81833457809728
[ 0.7893264  -0.5585592   1.28795574 -3.62918424  3.32067968  0.59497345] -215.82009206897624
[ 0.79235217 -0.53555237  1.26739839 -3.6443355   3.30825598  0.63408514] -215.81946618560434
[ 0.78782449 -0.50245427  1.3023702  -3.61884111  3.29105821  0.63227141] -215.8195120756491
[ 0.82949884 -0.52280687  1.28600285 -3.59257105  3.27829266  0.58930365] -215.81762028583978
[ 0.81645117 -0.48742517  1.31705839 -3.64537788  3.30694105  0.56961265] -215.8192845156667
[ 0.82108356 -0.47054272  1.3009442  -3.63043599  3.28946179  0.64138649] -215.815317083832
[ 0.83696214 -0.42653449  1.30743843 -3.63106187  3.27385285  0.66459301] -215.8190755777412
[ 0.83367182 -0.51601047  1.2860544  -3.64464408  3.31855112  0.60712688] -215.816070965944
[ 0.84291736 -0.4763984   1.32724487 -3.61925255  3.30478506  0.59632706] -215.8173716205679
[ 0.82764043 -0.52085001  1.28098038 -3.60950172  3.30538133  0.66970436] -215.8163973431644
[ 0.83884664 -0.45050932  1.25127612 -3.61435543  3.28644775  0.57467451] -215.816684051407
[ 0.82330756 -0.45214016  1.28401477 -3.6618144   3.33162477  0.64640244] -215.81652760194783
[ 0.80335243 -0.49046256  1.22836271 -3.64932019  3.31407893  0.65607082] -215.8161280255019
[ 0.79559175 -0.52966938  1.29669366 -3.66587222  3.34162663  0.70485548] -215.81942543701948
[ 0.82803292 -0.47029933  1.26263051 -3.62723463  3.30024247  0.60721975] -215.81442582970297
[ 0.81270596 -0.53409159  1.25682693 -3.60688666  3.28598885  0.62006665] -215.818141195305
[ 0.82065716 -0.47262802  1.27721781 -3.64808247  3.32021579  0.63981849] -215.81451172921945
[ 0.80604533 -0.44930776  1.25860713 -3.67205959  3.31717711  0.58680278] -215.81902257214406
[ 0.82224165 -0.50296444  1.27538706 -3.62514119  3.30833027  0.64897896] -215.81439006572364
[ 0.83662973 -0.4838625   1.32689958 -3.62418146  3.30656329  0.59807236] -215.81577805921603
[ 0.80729631 -0.4475986   1.28282295 -3.62203669  3.29809515  0.64399813] -215.81545699890907
