[-0.82070092 -0.93912378 -0.5227346   0.54200774  0.07247402  0.42810327] -304.04454827681195
[ 6.50835214 -0.60494944  3.18976241  5.10196141  5.01006905  1.13155593] -237.0537348836737
[ 6.47183074 -0.43496516  3.35860054  4.98136459  4.84183866  0.78232399] -237.00294674033947
[ 6.52006889 -0.39289369  3.50069961  4.86595975  4.69160661  0.80827758] -237.04279006431955
[ 6.47045184 -0.5118566   3.25088028  5.06265241  4.95187257  0.90517546] -236.9945254356413
[ 6.43863844 -0.38319534  3.27209464  5.00996599  4.89050888  0.91781157] -236.99039972798798
[ 6.39839745 -0.30035746  3.22820238  5.01303854  4.90188215  0.95309262] -237.0042787766803
[ 6.49708998 -0.44306632  3.22451777  5.06337776  5.0019164   0.86217397] -236.99294309740029
[ 6.4279589  -0.47148714  3.39577287  5.0492927   4.97408797  0.80593745] -237.0206757191236
[ 6.49510854 -0.44514378  3.25486814  5.01260967  4.89134982  0.90474775] -236.98973283573426
[ 6.53307223 -0.35089943  3.33294977  5.08943758  5.04169933  0.9613228 ] -237.0049578630646
[ 6.45806377 -0.48447389  3.2833069   5.00235709  4.87539241  0.85001418] -236.98995860596273
[ 6.41844775 -0.47943312  3.10992366  4.9857761   4.81014431  0.79027938] -237.00650210735202
[ 6.49857195 -0.43595871  3.35610524  5.04019383  4.95814753  0.91042204] -236.99100402134434
[ 6.48081077 -0.46626639  3.18865712  5.08235432  5.01455721  1.00112434] -237.00013436675815
[ 6.47856576 -0.45844108  3.23114297  5.05710689  4.97137757  0.94642425] -236.99037164779395
[ 6.48489431 -0.37156977  3.28979827  4.999218    4.91102497  0.89202245] -236.98306469814997
[ 6.49211554 -0.30142636  3.30925727  4.96750079  4.89060116  0.88544595] -236.98917832805805
[ 6.45419095 -0.41652787  3.33792095  4.97710606  4.83068399  0.94497344] -236.9966651705071
[ 6.48636522 -0.43643171  3.25286857  5.04180984  4.9591083   0.88287384] -236.98716314100517
[ 6.44864006 -0.42379315  3.17192126  5.00082866  4.87477312  0.88754264] -236.9903081567547
[ 6.51190745 -0.49008912  3.22254072  5.02801073  4.93716651  0.87006347] -236.99939647298828
[ 6.45695569 -0.40991878  3.25970616  5.01447717  4.90217329  0.90587454] -236.98762092201756
[ 6.46477677 -0.39866928  3.27301346  4.96665992  4.83322973  0.82793422] -236.9902669053589
[ 6.50008137 -0.42494259  3.36593257  5.01154856  4.91598639  0.86694636] -236.99141698425345
[ 6.46150039 -0.42408051  3.22042409  5.00350864  4.88507644  0.88239357] -236.98498624076402
[ 6.48285254 -0.45853687  3.24731058  5.05800022  4.97481201  0.94470789] -236.9900058165781
[ 6.47833359 -0.44356997  3.2537363   5.03516514  4.93941644  0.91551447] -236.98669339057767
[ 6.49632214 -0.35909761  3.22716028  5.03323907  4.95399068  0.94446136] -236.98699361022395
[ 6.45968191 -0.36974568  3.24636309  5.02986295  4.95891355  0.90296566] -236.98784147077527
[ 6.46853856 -0.3885952   3.24848935  5.02554963  4.94202262  0.90341118] -236.9868357685894
[ 6.50169571 -0.39786281  3.23778612  5.03168626  4.96137319  0.90101775] -236.98608965031272
[ 6.47739635 -0.35849358  3.23959624  5.00097908  4.90519314  0.93006643] -236.98310663722125
[ 6.46113083 -0.43562634  3.26944985  4.99879652  4.89404492  0.86368059] -236.98838788632207
[ 6.48752431 -0.37822979  3.23773267  5.02462843  4.93900424  0.92426617] -236.98489498105496
[ 6.49524299 -0.40267361  3.24453521  5.00617889  4.90500686  0.91168243] -236.98582714528362
[ 6.49108443 -0.33406672  3.23622123  4.98690129  4.89614317  0.89830179] -236.9842151979457
[ 6.46418521 -0.35850852  3.25164978  4.97545184  4.85244308  0.91189319] -236.98741673215596
[ 6.49231809 -0.38802424  3.24125203  5.01762766  4.93414066  0.90373661] -236.98447307532493
[ 6.46966297 -0.34881459  3.2438063   5.00477548  4.91852068  0.89857991] -236.98550344735028
[ 6.47605797 -0.36227935  3.24398853  5.00512633  4.91514223  0.90185554] -236.982952962464
[ 6.5082581  -0.30680731  3.27577224  5.00798496  4.94847303  0.9343561 ] -236.98684012762325
[ 6.47318982 -0.39476221  3.23426112  5.00462772  4.90092559  0.8953842 ] -236.98359265577582
[ 6.47745601 -0.35816883  3.25730647  4.98019826  4.88185235  0.88285617] -236.98541998955423
[ 6.48500724 -0.37321455  3.24262612  5.01352089  4.92471627  0.91391367] -236.98385735616588
[ 6.47022528 -0.34343783  3.25424513  4.98583011  4.88357446  0.90677808] -236.9860058337315
[ 6.48679489 -0.37687763  3.24450031  5.00967827  4.92149911  0.90449698] -236.98362199321227
[ 6.4700291  -0.41166565  3.26203563  5.0241488   4.93002393  0.91427796] -236.98444678051285
[ 6.48582059 -0.35346645  3.24267483  4.99621317  4.90461336  0.90229583] -236.98310839600703
[ 6.4763774  -0.36593511  3.25564698  4.99175997  4.89474987  0.89479347] -236.9856234963287
[ 6.48284978 -0.37139469  3.24588133  5.00808066  4.91722467  0.90913362] -236.9834103532329
[ 6.47327472 -0.36044439  3.25423313  4.99507005  4.89654221  0.90575571] -236.98585789636942
[ 6.48341484 -0.37276932  3.24693351  5.00602621  4.91525988  0.90481166] -236.9832727652979
[ 6.49028813 -0.33522885  3.26869645  5.00058676  4.92189383  0.91801098] -236.98340056970477
[ 6.48310762 -0.34654108  3.26468127  4.99463586  4.90715114  0.90722068] -236.98261610486247
[ 6.48323654 -0.33411428  3.27408124  4.98791346  4.90211437  0.90626421] -236.98592192795797
[ 6.47327576 -0.38647767  3.24052777  5.00014612  4.89756774  0.89474655] -236.9831319927249
[ 6.47676936 -0.35350665  3.26015545  4.99274664  4.89830431  0.90459083] -236.98541856382968
[ 6.48175347 -0.36795365  3.250239    5.00270632  4.91102099  0.90475645] -236.98306371773808
[ 6.48973434 -0.33362363  3.26979828  4.99948013  4.92048087  0.91799258] -236.98344185387936
[ 6.47739041 -0.37326416  3.2478454   4.99997962  4.90329602  0.90055806] -236.98291855428727
[ 6.47437945 -0.37323408  3.26937474  5.00466857  4.91299614  0.90986404] -236.98600670445333
[ 6.48296031 -0.35840836  3.24934981  4.99832702  4.90670905  0.90418788] -236.98268691702506
[ 6.48465835 -0.36817854  3.27570452  4.99901864  4.91292166  0.87346726] -236.98294725522473
[ 6.47708174 -0.35397194  3.22080457  5.00071326  4.90772206  0.90532617] -236.98315350179413
[ 6.48294116 -0.36717032  3.27254985  4.99959182  4.91019924  0.89534838] -236.98260618613642
[ 6.48061847 -0.35732695  3.26780079  4.99618678  4.90745212  0.88945615] -236.98251677094157
[ 6.48005096 -0.3520136   3.27658169  4.992927    4.90566769  0.88180599] -236.9857350497375
[ 6.48783413 -0.36135046  3.28198869  4.99078691  4.90076752  0.88822393] -236.9829879539052
[ 6.47900201 -0.36204712  3.25348857  5.00154148  4.91154855  0.89844764] -236.98241709899625
[ 6.47734831 -0.35340745  3.24286737  4.99773555  4.90253039  0.924939  ] -236.98588308263894
[ 6.48283084 -0.36448577  3.26749523  4.99869787  4.91032384  0.8863352 ] -236.98258806801132
[ 6.48642973 -0.34539571  3.27727644  4.99634731  4.91449863  0.89310725] -236.9829039282074
[ 6.4841699  -0.35236282  3.26991868  4.99725539  4.91169797  0.89496995] -236.98266527606862
[ 6.48126303 -0.35823633  3.28262832  4.99764271  4.91274857  0.88640478] -236.98577708962944
[ 6.48253599 -0.35836535  3.25766944  4.99815594  4.90821893  0.89974211] -236.98254164851733
[ 6.4795088  -0.36628271  3.25797637  4.99901452  4.90659997  0.89721343] -236.982850131995
[ 6.48300462 -0.35584279  3.2669331   4.99769517  4.91042347  0.89553082] -236.98256113949202
[ 6.48053674 -0.37520502  3.26396438  5.00265382  4.91223758  0.88106609] -236.9831434399415
[ 6.4824649  -0.35370707  3.26450205  4.99664035  4.90842275  0.90068203] -236.98254012496528
[ 6.48054445 -0.35008804  3.25341321  4.99671405  4.90859731  0.89471627] -236.98251549308432
[ 6.47989264 -0.34797334  3.25377382  4.99694672  4.90789721  0.90652314] -236.98554993600783
[ 6.48209629 -0.36035766  3.26406488  4.99826008  4.90971718  0.89138218] -236.9825045780407
[ 6.47941608 -0.35812127  3.25337988  4.99813772  4.90756214  0.89594463] -236.98240634964438
[ 6.4776218  -0.35926051  3.24660326  4.99835899  4.90613148  0.89615154] -236.9824007004155
[ 6.47824665 -0.3558971   3.25895482  4.99774463  4.90907087  0.89053649] -236.98534511446755
[ 6.48146365 -0.35774829  3.25799078  4.99805311  4.90843192  0.8974407 ] -236.9824847566148
[ 6.47798399 -0.36190246  3.24995178  4.99973114  4.90887011  0.88851613] -236.98289818085865
[ 6.48134467 -0.35575591  3.26086448  4.99741305  4.90853459  0.89764056] -236.98246363913196
[ 6.48007249 -0.3577589   3.24434094  5.00059348  4.91020155  0.90247015] -236.9825676189112
[ 6.48048197 -0.35743494  3.26193583  4.99728845  4.90813948  0.89270965] -236.9824434819546
