[-0.34796753  1.28843049 -0.19118626 -1.01138847  0.13101413 -0.89484858] -288.52952248070915
[ 3.72796636 -0.10737121  0.59114394  2.74249935  1.38579043 -0.31151897] -265.2728993505173
[ 3.66667807 -0.1224842   0.61088166  2.72991873  1.38423112 -0.40372989] -265.27448250333396
[ 3.65905612 -0.11377926  0.61938776  2.67062417  1.3205428  -0.40846488] -265.2659537760117
[ 3.63023807 -0.08296169  0.62107396  2.63062792  1.27152492 -0.41941751] -265.26007100177395
[ 3.62984339 -0.11305264  0.60258542  2.62722306  1.23895958 -0.45016824] -265.2776237722817
[ 3.70183516 -0.05758856  0.57575284  2.65693617  1.3436498  -0.34823361] -265.26349941373195
[ 3.67649538 -0.04514846  0.595163    2.67910008  1.29160272 -0.41083235] -265.2651751706095
[ 3.64531776 -0.03791783  0.57951421  2.68885978  1.30777375 -0.32290855] -265.2511779481355
[ 3.61845944  0.01226547  0.55959495  2.700002    1.29625441 -0.255167  ] -265.2540374189859
[ 3.71966687 -0.03810468  0.58859111  2.74875762  1.42256467 -0.28871206] -265.26117268513303
[ 3.70049513e+00 -5.46607680e-04  5.72864692e-01  2.65234158e+00
  1.29007098e+00 -2.96811130e-01] -265.2500202205348
[ 3.71740366  0.06042219  0.55385621  2.613553    1.24299091 -0.24335175] -265.25971183367994
[ 3.63004977  0.0199486   0.58650933  2.60970836  1.25660519 -0.38411943] -265.24581880479246
[ 3.58109147  0.08360851  0.58419203  2.54331287  1.19201256 -0.42041966] -265.255746660618
[ 3.66603887 -0.02057513  0.57960571  2.64997706  1.33912705 -0.27590174] -265.25250367516253
[ 3.62876699  0.00420279  0.60030017  2.66982127  1.28557238 -0.31438986] -265.245638773885
[ 3.5922329   0.03509847  0.61257383  2.67626382  1.25653368 -0.29746799] -265.2600997692455
[ 3.58063532e+00 -1.17861002e-03  5.91364910e-01  2.55168771e+00
  1.16099342e+00 -3.82470687e-01] -265.26489657002736
[ 3.68490898 -0.02887316  0.58928456  2.69949014  1.35717186 -0.31215171] -265.24895954256806
[ 3.68828776  0.06170791  0.5482856   2.69277147  1.34058215 -0.21600997] -265.2454587238014
[ 3.71731261  0.13404272  0.51189142  2.72384325  1.37511076 -0.11430619] -265.26483780001496
[ 3.65990326  0.02674903  0.57931381  2.68768714  1.27346505 -0.33956181] -265.26305956428814
[ 3.66450497 -0.00874409  0.57953274  2.65940458  1.32271155 -0.29181676] -265.2442700852062
[ 3.68702011  0.05381631  0.57941149  2.63898602  1.30979762 -0.28219107] -265.23861372543394
