[-0.72969944  0.99364956  1.1236009   1.22751645 -1.82805627 -0.60346769] -295.36006857938304
[ 2.91431244  0.99245011  0.67946442  1.47627388  2.13713422 -2.03665567] -224.3955193765928
[ 2.81499714  0.95528514  0.50752548  1.42330177  2.06236484 -1.90657359] -224.40433890965917
[ 2.83602408  0.90907142  0.51903573  1.39193283  2.04771143 -2.09971367] -224.39278910570366
[ 2.86669623  0.9959982   0.48174094  1.41836975  2.05723191 -1.98509981] -224.36615460367295
[ 2.86223387  1.00109003  0.41688421  1.39741115  2.02726065 -1.96227168] -224.34905414270528
[ 2.9374187   1.02390701  0.48977886  1.41797795  2.12726439 -1.93094969] -224.36963496006396
[ 2.86259052  0.80305524  0.51896254  1.4220139   2.05956316 -1.96384791] -224.36241878751053
[ 2.96835789  0.94516872  0.53339393  1.43339674  2.11048517 -2.0751152 ] -224.35152458295747
[ 2.88705775  0.8922433   0.31276483  1.36613227  2.02683277 -1.95785296] -224.3791456481661
[ 2.98235732  0.97001261  0.40443654  1.44187312  2.10929601 -1.84750806] -224.35200677583538
[ 2.89585319  0.90670451  0.39344117  1.36178253  2.0339512  -1.96088743] -224.3172988593033
[ 2.87503704  0.87416286  0.34084552  1.31043087  1.99111872 -1.96551728] -224.29889615234475
[ 2.94227403  0.98022219  0.58866904  1.44156898  2.11482993 -1.95721699] -224.3139653472448
[ 2.89353152  0.83399688  0.4446184   1.39758697  2.01025348 -1.99287602] -224.30318739170912
[ 2.97867338  1.06516253  0.39065334  1.38540872  2.06151816 -1.96965383] -224.29730351996793
[ 3.0367148   1.19621618  0.32649874  1.36710613  2.06249565 -1.97255679] -224.3131692304365
[ 2.85767859  0.9299218   0.50058494  1.34672803  1.99585936 -2.12670894] -224.29821600046432
[ 2.83478492  0.94968337  0.36069122  1.32631483  1.95646159 -1.91629971] -224.26849684450778
[ 2.76799844  0.9519407   0.27433987  1.27277388  1.87944981 -1.83689197] -224.27133104073653
[ 2.93175929  0.87662651  0.45846995  1.33860165  2.01608643 -2.01381924] -224.23224992349347
[ 2.96652201  0.81439475  0.47926281  1.30919689  2.01049932 -2.03959303] -224.20185857357382
[ 2.85980179  0.84221854  0.25021637  1.25031979  1.89374028 -2.04633262] -224.28867462054546
[ 2.89730105  0.99118441  0.32946634  1.24521274  1.95947899 -2.02849245] -224.22800236754665
[ 2.92321687  0.99002561  0.42944615  1.31062946  1.96806718 -2.07684291] -224.20814267680527
[ 2.96242141  0.95430127  0.24599381  1.26229945  1.95406249 -1.89902924] -224.22825261951132
[ 2.83600931  0.78210679  0.30770556  1.18258234  1.85258513 -2.03254282] -224.19729078632713
[ 2.76467727  0.64057891  0.26623167  1.08116915  1.74811862 -2.06398732] -224.2315026804069
[ 2.94695007  0.98501353  0.4673056   1.29509211  2.00664462 -1.95126744] -224.14747076998367
[ 2.99052421  1.05641102  0.57585021  1.31747828  2.06309679 -1.90373484] -224.1212430507959
[ 3.02388003  0.91312457  0.4285504   1.21615156  1.97946838 -2.07711205] -224.14269926622254
[ 2.91672974  0.89478111  0.60410002  1.2647843   1.99033611 -2.15374346] -224.1502752298215
[ 2.98832634  0.82576354  0.61217205  1.28839487  1.99520532 -2.06603059] -224.0901954389364
[ 3.03383898  0.74305311  0.7535249   1.30998593  2.01306848 -2.08479966] -224.06329271904718
[ 2.99928456  0.74459818  0.62021848  1.22276364  2.00161756 -2.02033238] -224.09632555850928
[ 2.96690027  0.89696351  0.61738704  1.19538512  1.95622483 -2.05116205] -224.00120075223938
[ 2.9670894   0.93824789  0.68644916  1.13847923  1.92908758 -2.05694656] -223.9177954962549
[ 3.14110633  0.98129851  0.91519216  1.30729864  2.13963983 -2.06634683] -224.0752379103139
[ 3.13517809  0.89746332  0.72249509  1.23926812  2.05165676 -1.91601397] -223.98655232211962
[ 3.06512716  0.87389944  0.99602626  1.29560639  2.08658728 -1.93894603] -223.99621835189856
[ 3.12335063  0.66977579  0.98878514  1.18698904  2.01078903 -2.1240603 ] -224.00044023018427
[ 3.15594564  0.95664784  1.06727242  1.26977881  2.07532543 -2.04203873] -223.9264250983344
[ 3.0190703   0.71173062  0.82299216  1.1727372   1.91586502 -1.98792159] -223.87623740836614
[ 2.95805229  0.57694667  0.77689217  1.10545649  1.80397762 -1.94870897] -223.85663599684432
[ 3.10107542  0.8946072   0.99244851  1.10187343  1.97273942 -1.9241052 ] -223.80325337081263
[ 3.13469365  0.97038425  1.11191032  0.99781718  1.9525749  -1.84375797] -223.7583543793416
[ 3.01534478  1.06808734  0.79823     1.16181303  1.95561415 -1.79141045] -223.80254363200658
[ 3.05697412  0.928693    0.72505679  1.0085979   1.83615819 -1.92734619] -223.73252470507066
[ 3.0528976   0.95608978  0.58957205  0.86509365  1.71094365 -1.92154627] -223.73187060038606
[ 2.95949636  0.92467127  0.95428028  0.94021135  1.75751768 -1.95212234] -223.62324505765125
[ 2.87165549  0.93827524  1.07017288  0.79068296  1.61044815 -1.97017652] -223.58533555295543
[ 2.84396542  0.85936255  0.61046976  0.75000203  1.57888992 -1.80214351] -223.69591847019316
[ 2.99178034  0.85146739  0.96596657  0.75180922  1.60839522 -1.70230134] -223.54235274313524
[ 3.00412582  0.80807713  1.10572527  0.55847421  1.44804904 -1.52497873] -223.60562858480154
[ 3.01206014  1.30427551  0.93854836  0.66694954  1.66831104 -1.72840305] -223.54429761893238
[ 2.95367277  0.89186423  0.96398332  0.4456385   1.4209068  -1.8646991 ] -223.6864807848224
[ 2.77398361  0.96339399  0.60099399  0.42557479  1.24672336 -1.81933196] -223.90356383118203
[ 3.04451614  0.96863668  0.98418124  0.85475658  1.77611201 -1.83765147] -223.60123860079818
[ 2.85298583  0.98187076  1.25486866  0.55485262  1.5100774  -1.71357873] -223.58088065279244
[ 3.06492481  1.11943405  1.44877058  0.60489444  1.61919362 -1.80345989] -223.57151194330143
[ 2.99230148  1.16278898  1.25685278  0.96234329  1.84327234 -1.72049123] -223.64251551016113
[ 2.9826443   1.09505779  1.18363541  0.83316709  1.73768096 -1.7565432 ] -223.54298907401002
[ 2.88083417  1.1281569   1.30313958  0.54602871  1.47525678 -1.72050278] -223.55527172871106
[ 3.05675438  1.22181222  1.29480351  0.52855091  1.59585686 -1.50475314] -223.59148373287343
[ 2.91793021  1.00915949  1.12633054  0.72514995  1.60680033 -1.85382068] -223.52455480104808
[ 3.09707216  1.18731295  1.06726168  0.82114703  1.72846859 -1.80809825] -223.50138670069487
[ 3.21911532  1.29003405  0.9734582   0.95429423  1.83766418 -1.85535801] -223.58845750360217
[ 2.89584896  1.07237596  0.74619014  0.84318941  1.65577735 -1.7197632 ] -223.57922806614334
[ 3.02265585  1.10766953  1.27312547  0.66446818  1.62833956 -1.78253572] -223.511748354002
[ 3.1272135   1.05682399  0.88181643  0.94153496  1.85074178 -1.82339797] -223.64707800120954
[ 2.942429    1.11032367  1.19780879  0.64490527  1.56912803 -1.74622657] -223.49987806810347
[ 2.97277715  0.81605476  1.33282779  0.81326604  1.62462652 -1.82143887] -223.5609402203644
[ 3.00223939  1.18222032  1.03711822  0.70352866  1.65738991 -1.751662  ] -223.50527482418056
[ 3.00872468  1.05432666  1.03890168  0.60383568  1.52849292 -1.79167166] -223.51318917497238
[ 3.00523675  1.36553682  1.28088223  0.63586904  1.63114456 -1.87570362] -223.55361934026598
[ 2.99514445  0.97998474  1.04469548  0.72282417  1.61408255 -1.74565191] -223.5018300848006
[ 3.10482496  1.19811981  1.09330657  0.66175305  1.63516686 -1.68812803] -223.49372577050508
[ 3.19827234  1.29259996  1.07679459  0.6300546   1.64935013 -1.6052817 ] -223.5454455011035
[ 3.04606392  1.20088368  1.1988704   0.80237311  1.74903225 -1.7157625 ] -223.53109403091656
[ 3.01805949  1.09096591  1.07889386  0.65347004  1.58362775 -1.77269437] -223.49068546006828
[ 3.03060063  1.14197294  0.89990273  0.73807456  1.63428168 -1.72161799] -223.4992451737893
[ 3.06047084  1.05400635  1.09017149  0.71052937  1.59752858 -1.74247703] -223.47317064318358
[ 3.08958657  0.98989937  1.11669812  0.71402973  1.56759791 -1.73788455] -223.48081247869084
[ 3.08934125  1.2809158   1.09775289  0.6871356   1.63531794 -1.74742884] -223.47902913977862
[ 2.98483657  1.10478854  1.08535043  0.54414227  1.48988169 -1.66475936] -223.51050846564934
[ 3.06901326  1.16668185  1.07178387  0.75189584  1.66882186 -1.77226353] -223.4817359575903
[ 3.18167448  1.20056388  0.91279501  0.75604755  1.68245352 -1.73531002] -223.53400967911844
[ 3.00224037  1.13288372  1.12655535  0.67269084  1.5974594  -1.74349744] -223.47882890126672
[ 3.08404942  1.16588488  1.28625194  0.64108368  1.60502579 -1.76721175] -223.4955436750663
[ 3.07068723  1.15990689  1.18966464  0.6653314   1.61233976 -1.75581331] -223.48039205782078
[ 2.99844585  1.09700037  1.12496746  0.71859798  1.59653157 -1.82326348] -223.48113800870047
[ 3.07867344  1.20616575  1.15473804  0.74859031  1.65237196 -1.75555351] -223.46520830963186
[ 3.10898042  1.26376567  1.19266014  0.79615044  1.68674406 -1.74698308] -223.46929213321505
[ 3.03093973  1.14361111  1.18949942  0.64906266  1.56169454 -1.75041434] -223.47272919653034
[ 3.11233844  1.22882951  1.15782648  0.65918208  1.62237249 -1.67513135] -223.47962711973216
[ 3.0539808   1.18889719  1.08251659  0.71039889  1.60990854 -1.71568752] -223.45986182480596
[ 3.04562758  1.20339234  1.02894256  0.73293263  1.60869293 -1.69562463] -223.4575521686333
[ 2.99009263  1.11149552  1.07139344  0.74113172  1.59531596 -1.80320058] -223.476337950596
[ 2.98000695  1.0029358   1.12268054  0.73117691  1.56903651 -1.74949367] -223.4774003144269
[ 3.05969669  1.1076519   1.09258648  0.76511703  1.59742075 -1.75542382] -223.45578087022488
[ 3.08842485  1.09503599  1.07560205  0.81133012  1.59740143 -1.76138701] -223.46004219324388
[ 3.10849336  1.2725052   1.08642994  0.71794433  1.63530506 -1.7514043 ] -223.469757030333
[ 3.13787458  1.21761536  1.14272921  0.70026039  1.62235531 -1.68043196] -223.46379056059843
[ 3.09329762  1.32964087  1.1414704   0.72743974  1.62841827 -1.72047382] -223.464109860292
[ 3.14361469  1.30204603  1.02613279  0.81503214  1.68649355 -1.70255633] -223.47210946795
[ 3.11544595  1.2624373   1.06697445  0.77353977  1.6552938  -1.71452084] -223.4601170862548
[ 3.0683786   1.16979598  1.12271711  0.76468229  1.61954595 -1.68927189] -223.4455007771819
